pollster,sample_size,numeric_grade,pollscore,state,transparency_score,end_date,party,answer,pct
Bullfinch,600,NA,NA,Wisconsin,4,2024-10-18,DEM,Harris,50
Bullfinch,600,NA,NA,Wisconsin,4,2024-10-18,REP,Trump,47
Bullfinch,600,NA,NA,Wisconsin,4,2024-10-18,DEM,Harris,48
Bullfinch,600,NA,NA,Wisconsin,4,2024-10-18,REP,Trump,46
PPP,571,1.4,0,Washington,4,2024-10-17,DEM,Harris,55
PPP,571,1.4,0,Washington,4,2024-10-17,REP,Trump,40
PPP,716,1.4,0,Oregon,4,2024-10-17,DEM,Harris,53
PPP,716,1.4,0,Oregon,4,2024-10-17,REP,Trump,41
TIPP,1257,1.8,-0.4,National,3,2024-10-17,DEM,Harris,49
TIPP,1257,1.8,-0.4,National,3,2024-10-17,REP,Trump,47
Quantus Insights,1045,NA,NA,National,5.5,2024-10-17,DEM,Harris,49.4
Quantus Insights,1045,NA,NA,National,5.5,2024-10-17,REP,Trump,48.6
RMG Research,788,2.3,-0.4,Florida,5,2024-10-17,DEM,Harris,47
RMG Research,788,2.3,-0.4,Florida,5,2024-10-17,REP,Trump,52
Bullfinch,600,NA,NA,Michigan,4,2024-10-17,DEM,Harris,53
Bullfinch,600,NA,NA,Michigan,4,2024-10-17,REP,Trump,45
Bullfinch,600,NA,NA,Michigan,4,2024-10-17,DEM,Harris,51
Bullfinch,600,NA,NA,Michigan,4,2024-10-17,REP,Trump,43
Bullfinch,600,NA,NA,Pennsylvania,4,2024-10-17,DEM,Harris,49
Bullfinch,600,NA,NA,Pennsylvania,4,2024-10-17,REP,Trump,49
Bullfinch,600,NA,NA,Pennsylvania,4,2024-10-17,DEM,Harris,49
Bullfinch,600,NA,NA,Pennsylvania,4,2024-10-17,REP,Trump,48
ActiVote,1000,NA,NA,National,8,2024-10-17,DEM,Harris,48.9
ActiVote,1000,NA,NA,National,8,2024-10-17,REP,Trump,51.1
ActiVote,400,NA,NA,Georgia,8,2024-10-17,DEM,Harris,49.3
ActiVote,400,NA,NA,Georgia,8,2024-10-17,REP,Trump,50.7
ActiVote,400,NA,NA,South Carolina,8,2024-10-17,DEM,Harris,41.6
ActiVote,400,NA,NA,South Carolina,8,2024-10-17,REP,Trump,58.4
TIPP,1228,1.8,-0.4,National,3,2024-10-16,DEM,Harris,49
TIPP,1228,1.8,-0.4,National,3,2024-10-16,REP,Trump,46
Emerson,1000,2.9,-1.1,National,7,2024-10-16,DEM,Harris,49.5
Emerson,1000,2.9,-1.1,National,7,2024-10-16,REP,Trump,49.2
OnMessage Inc.,800,1.1,0.2,National,1,2024-10-16,DEM,Harris,45
OnMessage Inc.,800,1.1,0.2,National,1,2024-10-16,REP,Trump,46
RMG Research,2950,2.3,-0.4,National,5,2024-10-16,DEM,Harris,50
RMG Research,2950,2.3,-0.4,National,5,2024-10-16,REP,Trump,49
TIPP,1029,1.8,-0.4,Georgia,3,2024-10-16,DEM,Harris,48.8
TIPP,1029,1.8,-0.4,Georgia,3,2024-10-16,REP,Trump,45.8
TIPP,813,1.8,-0.4,Georgia,3,2024-10-16,DEM,Harris,48.3
TIPP,813,1.8,-0.4,Georgia,3,2024-10-16,REP,Trump,48.5
TIPP,1029,1.8,-0.4,Georgia,3,2024-10-16,DEM,Harris,48.3
TIPP,1029,1.8,-0.4,Georgia,3,2024-10-16,REP,Trump,44.8
TIPP,1029,1.8,-0.4,Georgia,3,2024-10-16,IND,West,1
TIPP,1029,1.8,-0.4,Georgia,3,2024-10-16,GRE,Stein,1
TIPP,813,1.8,-0.4,Georgia,3,2024-10-16,DEM,Harris,49
TIPP,813,1.8,-0.4,Georgia,3,2024-10-16,REP,Trump,48.5
TIPP,813,1.8,-0.4,Georgia,3,2024-10-16,IND,West,0.5
TIPP,813,1.8,-0.4,Georgia,3,2024-10-16,GRE,Stein,0.8
YouGov,1435,3,-1.1,Arizona,9,2024-10-16,DEM,Harris,48
YouGov,1435,3,-1.1,Arizona,9,2024-10-16,REP,Trump,51
RMG Research,787,2.3,-0.4,Wisconsin,5,2024-10-16,DEM,Harris,49
RMG Research,787,2.3,-0.4,Wisconsin,5,2024-10-16,REP,Trump,50
RMG Research,789,2.3,-0.4,Michigan,5,2024-10-16,DEM,Harris,49
RMG Research,789,2.3,-0.4,Michigan,5,2024-10-16,REP,Trump,49
Gateway Political Strategies,2540,NA,NA,National,2,2024-10-16,DEM,Harris,53
Gateway Political Strategies,2540,NA,NA,National,2,2024-10-16,REP,Trump,47
ActiVote,400,NA,NA,Texas,8,2024-10-16,DEM,Harris,44.2
ActiVote,400,NA,NA,Texas,8,2024-10-16,REP,Trump,55.8
ActiVote,400,NA,NA,Tennessee,8,2024-10-16,DEM,Harris,37.6
ActiVote,400,NA,NA,Tennessee,8,2024-10-16,REP,Trump,62.4
ActiVote,400,NA,NA,Massachusetts,8,2024-10-16,DEM,Harris,66.6
ActiVote,400,NA,NA,Massachusetts,8,2024-10-16,REP,Trump,33.4
InsiderAdvantage,800,2,-0.3,Georgia,5,2024-10-15,DEM,Harris,47
InsiderAdvantage,800,2,-0.3,Georgia,5,2024-10-15,REP,Trump,49
TIPP,1248,1.8,-0.4,National,3,2024-10-15,DEM,Harris,50
TIPP,1248,1.8,-0.4,National,3,2024-10-15,REP,Trump,46
YouGov,1457,3,-1.1,National,9,2024-10-15,DEM,Harris,48
YouGov,1457,3,-1.1,National,9,2024-10-15,REP,Trump,45
YouGov,1457,3,-1.1,National,9,2024-10-15,GRE,Stein,1
YouGov,1457,3,-1.1,National,9,2024-10-15,IND,West,1
YouGov,1314,3,-1.1,National,9,2024-10-15,DEM,Harris,49
YouGov,1314,3,-1.1,National,9,2024-10-15,REP,Trump,45
YouGov,1314,3,-1.1,National,9,2024-10-15,GRE,Stein,1
YouGov,1314,3,-1.1,National,9,2024-10-15,IND,West,0
Morning Consult,653,1.9,-0.3,Arizona,3,2024-10-15,DEM,Harris,49
Morning Consult,653,1.9,-0.3,Arizona,3,2024-10-15,REP,Trump,48
Morning Consult,1002,1.9,-0.3,Georgia,3,2024-10-15,DEM,Harris,48
Morning Consult,1002,1.9,-0.3,Georgia,3,2024-10-15,REP,Trump,49
Morning Consult,490,1.9,-0.3,Maryland,3,2024-10-15,DEM,Harris,64
Morning Consult,490,1.9,-0.3,Maryland,3,2024-10-15,REP,Trump,31
Morning Consult,1065,1.9,-0.3,Michigan,3,2024-10-15,DEM,Harris,49
Morning Consult,1065,1.9,-0.3,Michigan,3,2024-10-15,REP,Trump,47
Morning Consult,496,1.9,-0.3,Nevada,3,2024-10-15,DEM,Harris,49
Morning Consult,496,1.9,-0.3,Nevada,3,2024-10-15,REP,Trump,45
Morning Consult,1072,1.9,-0.3,North Carolina,3,2024-10-15,DEM,Harris,48
Morning Consult,1072,1.9,-0.3,North Carolina,3,2024-10-15,REP,Trump,49
Morning Consult,1243,1.9,-0.3,Ohio,3,2024-10-15,DEM,Harris,45
Morning Consult,1243,1.9,-0.3,Ohio,3,2024-10-15,REP,Trump,52
Morning Consult,1395,1.9,-0.3,Pennsylvania,3,2024-10-15,DEM,Harris,49
Morning Consult,1395,1.9,-0.3,Pennsylvania,3,2024-10-15,REP,Trump,48
Morning Consult,2048,1.9,-0.3,Texas,3,2024-10-15,DEM,Harris,46
Morning Consult,2048,1.9,-0.3,Texas,3,2024-10-15,REP,Trump,50
Morning Consult,527,1.9,-0.3,Wisconsin,3,2024-10-15,DEM,Harris,47
Morning Consult,527,1.9,-0.3,Wisconsin,3,2024-10-15,REP,Trump,48
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,DEM,Harris,47
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,REP,Trump,47
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,GRE,Stein,1
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,LIB,Oliver,1
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,IND,Kennedy,0
