pollster,sample_size,numeric_grade,pollscore,transparency_score,end_date,party,answer,pct
TIPP,1257,1.8,-0.4,3,2024-10-17,DEM,Harris,49
TIPP,1257,1.8,-0.4,3,2024-10-17,REP,Trump,47
Quantus Insights,1045,NA,NA,5.5,2024-10-17,DEM,Harris,49.4
Quantus Insights,1045,NA,NA,5.5,2024-10-17,REP,Trump,48.6
ActiVote,1000,NA,NA,8,2024-10-17,DEM,Harris,48.9
ActiVote,1000,NA,NA,8,2024-10-17,REP,Trump,51.1
TIPP,1228,1.8,-0.4,3,2024-10-16,DEM,Harris,49
TIPP,1228,1.8,-0.4,3,2024-10-16,REP,Trump,46
Emerson,1000,2.9,-1.1,7,2024-10-16,DEM,Harris,49.5
Emerson,1000,2.9,-1.1,7,2024-10-16,REP,Trump,49.2
OnMessage Inc.,800,1.1,0.2,1,2024-10-16,DEM,Harris,45
OnMessage Inc.,800,1.1,0.2,1,2024-10-16,REP,Trump,46
RMG Research,2950,2.3,-0.4,5,2024-10-16,DEM,Harris,50
RMG Research,2950,2.3,-0.4,5,2024-10-16,REP,Trump,49
Gateway Political Strategies,2540,NA,NA,2,2024-10-16,DEM,Harris,53
Gateway Political Strategies,2540,NA,NA,2,2024-10-16,REP,Trump,47
TIPP,1248,1.8,-0.4,3,2024-10-15,DEM,Harris,50
TIPP,1248,1.8,-0.4,3,2024-10-15,REP,Trump,46
YouGov,1457,3,-1.1,9,2024-10-15,DEM,Harris,48
YouGov,1457,3,-1.1,9,2024-10-15,REP,Trump,45
YouGov,1457,3,-1.1,9,2024-10-15,GRE,Stein,1
YouGov,1457,3,-1.1,9,2024-10-15,IND,West,1
YouGov,1314,3,-1.1,9,2024-10-15,DEM,Harris,49
YouGov,1314,3,-1.1,9,2024-10-15,REP,Trump,45
YouGov,1314,3,-1.1,9,2024-10-15,GRE,Stein,1
YouGov,1314,3,-1.1,9,2024-10-15,IND,West,0
TIPP,1198,1.8,-0.4,3,2024-10-14,DEM,Harris,49
TIPP,1198,1.8,-0.4,3,2024-10-14,REP,Trump,46
Beacon/Shaw,1110,2.8,-1.1,9,2024-10-14,DEM,Harris,48
Beacon/Shaw,1110,2.8,-1.1,9,2024-10-14,REP,Trump,50
Beacon/Shaw,870,2.8,-1.1,9,2024-10-14,DEM,Harris,48
Beacon/Shaw,870,2.8,-1.1,9,2024-10-14,REP,Trump,50
Fairleigh Dickinson,806,2.6,-0.6,9.5,2024-10-14,DEM,Harris,50
Fairleigh Dickinson,806,2.6,-0.6,9.5,2024-10-14,REP,Trump,47
TIPP,1212,1.8,-0.4,3,2024-10-13,DEM,Harris,49
TIPP,1212,1.8,-0.4,3,2024-10-13,REP,Trump,46
HarrisX/Harris Poll,2596,1.5,-0.1,7,2024-10-13,DEM,Harris,49
HarrisX/Harris Poll,2596,1.5,-0.1,7,2024-10-13,REP,Trump,48
HarrisX/Harris Poll,2596,1.5,-0.1,7,2024-10-13,IND,West,1
HarrisX/Harris Poll,2596,1.5,-0.1,7,2024-10-13,GRE,Stein,1
HarrisX/Harris Poll,2596,1.5,-0.1,7,2024-10-13,DEM,Harris,51
HarrisX/Harris Poll,2596,1.5,-0.1,7,2024-10-13,REP,Trump,49
HarrisX/Harris Poll,3145,1.5,-0.1,7,2024-10-13,DEM,Harris,51
HarrisX/Harris Poll,3145,1.5,-0.1,7,2024-10-13,REP,Trump,49
HarrisX/Harris Poll,3145,1.5,-0.1,7,2024-10-13,DEM,Harris,49
HarrisX/Harris Poll,3145,1.5,-0.1,7,2024-10-13,REP,Trump,48
HarrisX/Harris Poll,3145,1.5,-0.1,7,2024-10-13,IND,West,2
HarrisX/Harris Poll,3145,1.5,-0.1,7,2024-10-13,GRE,Stein,1
Morning Consult,8647,1.9,-0.3,3,2024-10-13,DEM,Harris,50
Morning Consult,8647,1.9,-0.3,3,2024-10-13,REP,Trump,46
Ipsos,807,2.8,-0.9,9.5,2024-10-13,DEM,Harris,45
Ipsos,807,2.8,-0.9,9.5,2024-10-13,REP,Trump,42
Ipsos,769,2.8,-0.9,9.5,2024-10-13,DEM,Harris,47
Ipsos,769,2.8,-0.9,9.5,2024-10-13,REP,Trump,44
Ipsos,938,2.8,-0.9,9.5,2024-10-13,DEM,Harris,41
Ipsos,938,2.8,-0.9,9.5,2024-10-13,REP,Trump,37
Morning Consult,8901,1.9,-0.3,3,2024-10-12,DEM,Harris,50
Morning Consult,8901,1.9,-0.3,3,2024-10-12,REP,Trump,46
Morning Consult,8902,1.9,-0.3,3,2024-10-11,DEM,Harris,50
Morning Consult,8902,1.9,-0.3,3,2024-10-11,REP,Trump,46
HarrisX,2010,1.5,-0.1,6,2024-10-11,DEM,Harris,51
HarrisX,2010,1.5,-0.1,6,2024-10-11,REP,Trump,49
HarrisX,1692,1.5,-0.1,6,2024-10-11,DEM,Harris,51
HarrisX,1692,1.5,-0.1,6,2024-10-11,REP,Trump,49
HarrisX,1622,1.5,-0.1,6,2024-10-11,DEM,Harris,51
HarrisX,1622,1.5,-0.1,6,2024-10-11,REP,Trump,49
HarrisX,2010,1.5,-0.1,6,2024-10-11,DEM,Harris,49
HarrisX,2010,1.5,-0.1,6,2024-10-11,REP,Trump,46
HarrisX,2010,1.5,-0.1,6,2024-10-11,IND,West,2
HarrisX,2010,1.5,-0.1,6,2024-10-11,GRE,Stein,2
HarrisX,1692,1.5,-0.1,6,2024-10-11,DEM,Harris,49
HarrisX,1692,1.5,-0.1,6,2024-10-11,REP,Trump,48
HarrisX,1692,1.5,-0.1,6,2024-10-11,IND,West,1
HarrisX,1692,1.5,-0.1,6,2024-10-11,GRE,Stein,1
HarrisX,1622,1.5,-0.1,6,2024-10-11,DEM,Harris,49
HarrisX,1622,1.5,-0.1,6,2024-10-11,REP,Trump,49
HarrisX,1622,1.5,-0.1,6,2024-10-11,IND,West,1
HarrisX,1622,1.5,-0.1,6,2024-10-11,GRE,Stein,1
